source,target,length
861,862,9.47
861,876,6.65
862,863,10.07
863,863,2.0
864,864,2.0
864,875,39.84
865,873,11.3
865,875,18.66
868,883,6.43
868,884,5.24
871,879,12.89
871,871,8.25
871,889,21.32
871,878,18.63
872,885,19.26
872,877,4.24
872,890,14.82
873,886,6.58
875,892,17.24
876,879,4.41
876,882,2.83
877,890,8.66
878,884,8.83
879,889,9.58
880,886,4.41
880,890,7.26
882,887,12.99
882,889,5.41
883,884,7.24
885,887,8.3
885,885,7.21
886,890,10.63
887,889,15.85
892,892,2.83
